938,389,0,0,none
913,389,-300,0,MoveLeft
888,376,-300,-383,MoveLeft
863,348,-300,-301,MoveLeft
838,327,-300,-220,MoveLeft
813,313,-300,-138,MoveLeft
788,306,-300,-56,MoveLeft
763,305,-300,24,MoveLeft
738,311,-300,106,MoveLeft
713,317,-300,0,MoveLeft
688,317,-300,0,MoveLeft
663,317,-300,0,MoveLeft
638,317,-300,0,MoveLeft
613,292,-300,-350,MoveLeft
588,267,-300,-269,MoveLeft
563,249,-300,-187,MoveLeft
538,237,-300,-105,MoveLeft
513,233,-300,-24,MoveLeft
488,235,-300,57,MoveLeft
463,243,-300,139,MoveLeft
438,259,-300,220,MoveLeft
413,282,-300,302,MoveLeft
388,311,-300,384,MoveLeft
363,347,-300,465,MoveLeft
338,390,-300,547,MoveLeft
313,440,-300,629,MoveLeft
288,496,-300,710,MoveLeft
263,549,-300,0,MoveLeft
238,549,-300,0,MoveLeft
213,549,-300,0,MoveLeft
188,549,-300,0,MoveLeft
163,549,-300,0,MoveLeft
138,549,-300,0,MoveLeft
133,549,300,0,MoveRight
158,549,300,0,MoveRight
183,549,300,0,MoveRight
208,549,300,0,MoveRight
233,549,300,0,MoveRight
258,549,300,0,MoveRight
283,549,300,0,MoveRight
308,549,300,0,MoveRight
333,549,300,0,MoveRight
358,536,300,-383,MoveRight
383,508,300,-301,MoveRight
408,487,300,-220,MoveRight
433,473,300,-138,MoveRight
458,466,300,-56,MoveRight
483,465,300,24,MoveRight
508,471,300,106,MoveRight
533,484,300,188,MoveRight
558,489,300,0,MoveRight
583,464,300,-350,MoveRight
608,439,300,-269,MoveRight
633,421,300,-187,MoveRight
658,409,300,-105,MoveRight
683,405,300,-24,MoveRight
708,407,300,57,MoveRight
733,415,300,139,MoveRight
758,431,300,220,MoveRight
783,454,300,302,MoveRight
798,437,0,-367,MoveRight
798,411,0,-285,MoveRight
798,391,0,-203,MoveRight
818,378,300,-122,MoveRight
843,372,300,-40,MoveRight
868,373,300,41,MoveRight
893,380,300,122,MoveRight
918,389,300,0,MoveRight
898,389,-300,0,MoveLeft
873,383,-300,-400,MoveLeft
848,354,-300,-318,MoveLeft
823,331,-300,-236,MoveLeft
798,315,-300,-154,MoveLeft
773,307,-300,-73,MoveLeft
748,305,-300,8,MoveLeft
723,309,-300,90,MoveLeft
698,317,-300,0,MoveLeft
673,317,-300,0,MoveLeft
648,292,-300,-350,MoveLeft
623,267,-300,-269,MoveLeft
598,249,-300,-187,MoveLeft
573,237,-300,-105,MoveLeft
548,233,-300,-24,MoveLeft
523,235,-300,57,MoveLeft
498,243,-300,139,MoveLeft
473,259,-300,220,MoveLeft
448,282,-300,302,MoveLeft
423,311,-300,384,MoveLeft
398,347,-300,465,MoveLeft
373,390,-300,547,MoveLeft
348,440,-300,629,MoveLeft
323,496,-300,710,MoveLeft
338,549,300,0,MoveRight
363,549,300,0,MoveRight
388,549,300,0,MoveRight
413,536,300,-383,MoveRight
427,508,0,-301,MoveRight
427,487,0,-220,MoveRight
452,473,300,-138,MoveRight
477,466,300,-56,MoveRight
502,465,300,24,MoveRight
527,471,300,106,MoveRight
527,484,0,188,none
527,489,0,0,none
547,489,300,0,MoveRight
572,489,300,0,MoveRight
597,489,300,0,MoveRight
617,489,0,0,MoveRight
617,489,0,0,MoveRight
617,464,0,-350,MoveRight
632,439,300,-269,MoveRight
657,421,300,-187,MoveRight
682,409,300,-105,MoveRight
707,405,300,-24,MoveRight
732,407,300,57,MoveRight
757,416,300,139,MoveRight
767,431,0,220,none
767,454,0,302,none
767,456,0,0,none
782,437,300,-367,MoveRight
798,411,0,-285,MoveRight
798,391,0,-203,MoveRight
818,378,300,-122,MoveRight
843,372,300,-40,MoveRight
868,373,300,41,MoveRight
893,380,300,122,MoveRight
873,389,-300,0,MoveLeft
848,389,-300,0,MoveLeft
823,383,-300,-400,MoveLeft
798,354,-300,-318,MoveLeft
791,331,0,-236,MoveLeft
791,315,0,-154,MoveLeft
766,307,-300,-73,MoveLeft
741,305,-300,8,MoveLeft
716,309,-300,90,MoveLeft
691,317,-300,0,MoveLeft
666,317,-300,0,MoveLeft
641,317,-300,0,MoveLeft
616,317,-300,0,MoveLeft
591,317,-300,0,MoveLeft
566,320,-300,65,MoveLeft
541,330,-300,147,MoveLeft
516,346,-300,228,MoveLeft
491,369,-300,310,MoveLeft
466,399,-300,392,MoveLeft
441,436,-300,473,MoveLeft
416,479,-300,555,MoveLeft
391,530,-300,637,MoveLeft
366,549,-300,0,MoveLeft
391,549,300,0,MoveRight
416,543,300,-400,MoveRight
427,514,0,-318,MoveRight
427,491,0,-236,MoveRight
447,475,300,-154,MoveRight
472,467,300,-73,MoveRight
497,465,300,8,MoveRight
522,469,300,90,MoveRight
547,481,300,171,MoveRight
572,489,300,0,MoveRight
597,489,300,0,MoveRight
617,489,0,0,MoveRight
617,489,0,0,MoveRight
617,489,0,0,MoveRight
617,459,0,-334,MoveRight
637,435,300,-252,MoveRight
662,418,300,-171,MoveRight
682,408,0,-89,none
682,404,0,-7,none
682,408,0,73,none
682,418,0,155,none
702,435,300,237,MoveRight
727,456,300,0,MoveRight
752,456,300,0,MoveRight
777,426,300,-334,MoveRight
